country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_litres_of_alcohol_consumed
Afghanistan,0,0,0,0,0
Albania,89,132,54,4.9,49.245
Algeria,25,0,14,0.7,12.025
Andorra,245,138,312,12.4,157.425
Angola,217,57,45,5.9,92.235
Antigua & Barbuda,102,128,45,4.9,52.185
Argentina,193,25,221,8.3,116.115
Armenia,21,179,11,3.8,17.655
Australia,261,72,212,10.4,141.955
Austria,279,75,191,9.7,144.045
Azerbaijan,21,46,5,1.3,10.78
Bahamas,122,176,51,6.3,62.935
Bahrain,42,63,7,2,19.71
Bangladesh,0,0,0,0,0
Barbados,143,173,36,6.3,67.69
Belarus,142,373,42,14.4,81.485
Belgium,295,84,212,10.5,154.425
Belize,263,114,8,6.8,104.415
Benin,34,4,13,1.1,15.545
Bhutan,23,0,0,0.4,8.565
Bolivia,167,41,8,3.8,65.51
Bosnia-Herzegovina,76,173,8,4.6,37.305
Botswana,173,35,35,5.4,73.815
Brazil,245,145,16,7.2,100.6
Brunei,31,2,1,0.6,11.83
Bulgaria,231,252,94,10.3,115.055
Burkina Faso,25,7,7,4.3,14.575
Burundi,88,0,0,6.3,37.54
Cote d'Ivoire,37,1,7,4,18.385
Cabo Verde,144,56,16,4,59.32
Cambodia,57,65,1,2.2,24.235
Cameroon,147,1,4,5.8,58.71
Canada,240,122,100,8.2,113.95
Central African Republic,17,2,1,1.8,8.06
Chad,15,1,1,0.4,5.925
Chile,130,124,172,7.6,86.95
China,79,192,8,5,39.245
Colombia,159,76,3,4.2,63.07
Comoros,1,3,1,0.1,0.705
Democratic Republic of Congo,76,1,9,1.7,30.28
Cook Islands,0,254,74,5.9,25.2
Costa Rica,149,87,11,4.4,61.395
Croatia,230,87,254,10.2,138.475
Cuba,93,137,5,4.2,41.515
Cyprus,192,154,113,8.2,99.985
Czech Republic,361,170,134,11.8,167.655
North Korea,0,0,0,0,0
DR Congo,32,3,1,2.3,13.91
Denmark,224,81,278,10.4,140.595
